,Device,Market,SubMarket,Spendings,DevSpends,MarketSpends,SubMarketSpends,Cogs,Cogs_1,Cogs_2,Revenue,Revenue_1,Revenue_2,Ebitda,Ebitda_1,Ebitda_2,Value
11575,Amplifier/Comparator,Computer Platforms,Data Center Servers,7.0,242620.053,104825.166,21696.0,54783.54,58681.93,46749.87,66005.5,70554.6,55691.6,3825.2,4128.3,2611.3,0.8258999999999999
11578,Amplifier/Comparator,Computer Platforms,Desktop PCs,5.99,172603.835,66738.632,3161.004,42946.57,38193.67,36334.13,49966.0,44290.3,42588.8,2025.3,723.3,49966.0,0.7041939092002042
11579,Amplifier/Comparator,Computer Platforms,Desktop PCs,9.514,163733.518,70347.31300000001,4380.86,43456.49,42946.57,38193.67,51847.3,49966.0,44290.3,2116.2,2025.3,723.3,1.1266999999999998
11580,Amplifier/Comparator,Computer Platforms,Desktop PCs,7.001,163007.011,75961.04,3454.0660000000003,46749.87,43456.49,42946.57,55691.6,51847.3,49966.0,2611.3,2116.2,2025.3,0.8993061122401125
11581,Amplifier/Comparator,Computer Platforms,Desktop PCs,7.001,212172.612,106413.934,4880.216,58681.93,46749.87,43456.49,70554.6,55691.6,51847.3,4128.3,2611.3,2116.2,1.0237051540370858
11582,Amplifier/Comparator,Computer Platforms,Desktop PCs,7.001,242620.053,104825.166,4092.044,54783.54,58681.93,46749.87,66005.5,70554.6,55691.6,3825.2,4128.3,2611.3,0.8489999999999999
11585,Amplifier/Comparator,Computer Platforms,Notebook PCs,26.772,172603.835,66738.632,16116.022,42946.57,38193.67,36334.13,49966.0,44290.3,42588.8,2025.3,723.3,49966.0,4.529360824100261
11586,Amplifier/Comparator,Computer Platforms,Notebook PCs,34.844,163733.518,70347.31300000001,18409.378,43456.49,42946.57,38193.67,51847.3,49966.0,44290.3,2116.2,2025.3,723.3,6.0127
11587,Amplifier/Comparator,Computer Platforms,Notebook PCs,45.001,163007.011,75961.04,25870.078,46749.87,43456.49,42946.57,55691.6,51847.3,49966.0,2611.3,2116.2,2025.3,7.940553968912058
11588,Amplifier/Comparator,Computer Platforms,Notebook PCs,56.0,212172.612,106413.934,43886.544,58681.93,46749.87,43456.49,70554.6,55691.6,51847.3,4128.3,2611.3,2116.2,11.980360317388392
11589,Amplifier/Comparator,Computer Platforms,Notebook PCs,57.0,242620.053,104825.166,46202.026,54783.54,58681.93,46749.87,66005.5,70554.6,55691.6,3825.2,4128.3,2611.3,11.7655
11592,Amplifier/Comparator,Computer Platforms,Other Computer Products,18.293,172603.835,66738.632,23213.44,42946.57,38193.67,36334.13,49966.0,44290.3,42588.8,2025.3,723.3,49966.0,0.0876992414610308
11593,Amplifier/Comparator,Computer Platforms,Other Computer Products,28.268,163733.518,70347.31300000001,30753.28,43456.49,42946.57,38193.67,51847.3,49966.0,44290.3,2116.2,2025.3,723.3,0.1349999999999999
11594,Amplifier/Comparator,Computer Platforms,Other Computer Products,24.0,163007.011,75961.04,27808.896,46749.87,43456.49,42946.57,55691.6,51847.3,49966.0,2611.3,2116.2,2025.3,0.1173007972487103
11595,Amplifier/Comparator,Computer Platforms,Other Computer Products,17.0,212172.612,106413.934,28766.624,58681.93,46749.87,43456.49,70554.6,55691.6,51847.3,4128.3,2611.3,2116.2,0.1329006691135378
11596,Amplifier/Comparator,Computer Platforms,Other Computer Products,14.0,242620.053,104825.166,24780.096,54783.54,58681.93,46749.87,66005.5,70554.6,55691.6,3825.2,4128.3,2611.3,0.1588999999999999
11599,Amplifier/Comparator,Computer Platforms,Tablet PCs,16.764,172603.835,66738.632,5457.87,42946.57,38193.67,36334.13,49966.0,44290.3,42588.8,2025.3,723.3,49966.0,5.114255765155643
11600,Amplifier/Comparator,Computer Platforms,Tablet PCs,24.572,163733.518,70347.31300000001,6494.355,43456.49,42946.57,38193.67,51847.3,49966.0,44290.3,2116.2,2025.3,723.3,7.0639
11601,Amplifier/Comparator,Computer Platforms,Tablet PCs,22.0,163007.011,75961.04,6420.0,46749.87,43456.49,42946.57,55691.6,51847.3,49966.0,2611.3,2116.2,2025.3,5.1819352196342034
11602,Amplifier/Comparator,Computer Platforms,Tablet PCs,21.0,212172.612,106413.934,9915.15,58681.93,46749.87,43456.49,70554.6,55691.6,51847.3,4128.3,2611.3,2116.2,6.1368308970350585
11603,Amplifier/Comparator,Computer Platforms,Tablet PCs,18.0,242620.053,104825.166,8055.0,54783.54,58681.93,46749.87,66005.5,70554.6,55691.6,3825.2,4128.3,2611.3,4.478199999999999
11606,Amplifier/Comparator,Wireless Communications,Handset,1292.366,172603.835,746450.838,440629.184,42946.57,38193.67,36334.13,49966.0,44290.3,42588.8,2025.3,723.3,49966.0,39.88649117850105
11607,Amplifier/Comparator,Wireless Communications,Handset,1113.886,163733.518,696220.217,400114.176,43456.49,42946.57,38193.67,51847.3,49966.0,44290.3,2116.2,2025.3,723.3,28.503409351833884
11608,Amplifier/Comparator,Wireless Communications,Handset,1139.967,163007.011,798162.05,455903.52,46749.87,43456.49,42946.57,55691.6,51847.3,49966.0,2611.3,2116.2,2025.3,29.735310103575248
11609,Amplifier/Comparator,Wireless Communications,Handset,1326.441,212172.612,1019653.858,606699.008,58681.93,46749.87,43456.49,70554.6,55691.6,51847.3,4128.3,2611.3,2116.2,47.2172
11610,Amplifier/Comparator,Wireless Communications,Handset,1545.535,242620.053,1148735.868,721530.528,54783.54,58681.93,46749.87,66005.5,70554.6,55691.6,3825.2,4128.3,2611.3,57.34349161809629
11613,Amplifier/Comparator,Wireless Communications,Media Tablets,53.939,172603.835,746450.838,42269.41499999999,42946.57,38193.67,36334.13,49966.0,44290.3,42588.8,2025.3,723.3,49966.0,3.8590088214989455
11614,Amplifier/Comparator,Wireless Communications,Media Tablets,42.129,163733.518,696220.217,35696.865,43456.49,42946.57,38193.67,51847.3,49966.0,44290.3,2116.2,2025.3,723.3,2.9405906481661104
